track_id,track_name,artist_name,album_name,release_date,popularity,duration_ms,explicit,playlist_source,playlist_id,city,artist_genres,artist_popularity,artist_followers,track_popularity,preview_url,markets_available
1wjzFQodRWrPcQ0AnYnvQ9,I Like Me Better,Lauv,I Like Me Better,2017-05-19,5,197436,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,78,6692237,5,,0
2dWnq2GQfjXJ0izLYzRQcG,into your eyes,Alex Tyché,into your eyes,2024-01-14,35,223661,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,latin r&b,20,472,35,,185
5Kbn4YrOR3siYvBTwm6FVi,8ETTER OFF LEAVING,Jan Metternich,Broken Symphonies,2024-07-26,48,169578,True,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,57,27869,48,,185
4evmHXcjt3bTUHD1cvny97,Beautiful People (feat. Khalid),Ed Sheeran,Beautiful People (feat. Khalid),2019-06-28,74,197866,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,soft pop,92,121034098,74,,184
0FDzzruyVECATHXKHFs9eJ,A Sky Full of Stars,Coldplay,Ghost Stories,2014-05-16,90,267866,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,92,58955436,90,,185
2bP8lW1Rva7itAJc6Tno20,Everytime,Alex Tyché,Everytime,2021-09-30,24,266111,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,latin r&b,20,472,24,,185
3Ug9mSlyh82G6SnLl2Bhe8,1HOSE EYE2,Jan Metternich,Broken Symphonies,2024-07-26,55,154814,True,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,57,27869,55,,185
3yII7UwgLF6K5zW3xad3MP,22 (Taylor's Version),Taylor Swift,Red (Taylor's Version),2021-11-12,75,230960,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,99,139598052,75,,184
5O2P9iiztwhomNh8xkR9lJ,Night Changes,One Direction,FOUR (Deluxe),2014-11-17,91,226600,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,87,39809999,91,,185
4kLLWz7srcuLKA7Et40PQR,I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],2009-01-01,87,289133,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,86,9121216,87,,174
6FE2iI43OZnszFLuLtvvmg,Classic,MKTO,MKTO,2012,84,175426,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,67,1106738,84,,185
49FYlytm3dAAraYgpoJZux,Umbrella,Rihanna,Good Girl Gone Bad: Reloaded,2008-06-02,86,275986,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,93,67413035,86,,184
6Vh03bkEfXqekWp7Y1UBRb,Live While We're Young,One Direction,Take Me Home (Expanded Edition),2012-11-12,78,200213,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,87,39809999,78,,185
4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,One Direction,Up All Night,2012-05-25,88,199986,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,87,39809999,88,,185
5T7ZFtCcOgkpjxcuaeZbw0,Best Song Ever,One Direction,Midnight Memories (Deluxe),2013-11-25,81,200106,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,87,39809999,81,,185
5G2c6FsfTzgYUzageCmfXY,One Thing,One Direction,Up All Night,2012-05-25,76,197600,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,87,39809999,76,,185
4My8w8AA1JpG6E5SiAPvJL,Kiss You,One Direction,Take Me Home (Expanded Edition),2012-11-12,76,182866,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,87,39809999,76,,185
7ySUcLPVX7KudhnmNcgY2D,S&M,Rihanna,Loud (Japan Version),2010-01-01,86,243600,True,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,93,67413035,86,,184
5LABCxgmP7DATATIJXOh6n,Ever Since New York,Harry Styles,Harry Styles,2017-05-12,66,253386,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,85,33785948,66,,185
4v1CvZazmdpxQLEt3sCeKH,New York City,The Chainsmokers,New York City,2015-10-30,51,230666,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,84,21123798,51,,184
4S1VYqwfkLit9mKVY3MXoo,Forever Young,Alphaville,Forever Young,1984,86,226706,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,synthpop,74,1027963,86,,184
6epn3r7S14KUqlReYr77hA,Baby,Justin Bieber,My World 2.0,2010-01-01,87,214240,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,92,83075012,87,,182
3pv7Q5v2dpdefwdWIvE7yH,Shake It Off (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,73,219209,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,99,139598052,73,,183
3TcL0dyCMyr0kyTTc4NLgI,Who Says,Selena Gomez & The Scene,When The Sun Goes Down,2011-01-01,76,195613,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,70,10234659,76,,183
0Hf4aIJpsN4Os2f0y0VqWl,Feel This Moment (feat. Christina Aguilera),Pitbull,Global Warming: Meltdown (Deluxe Version),2012,86,229506,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,89,11678758,86,,171
1dzQoRqT5ucxXVaAhTcT0J,Just Dance,Lady Gaga,The Fame,2008-01-01,87,241933,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,"art pop, pop",93,39367001,87,,176
0laYHRpNTS6i8FXdupHkJ4,Love You Like A Love Song,Selena Gomez & The Scene,When The Sun Goes Down,2011-01-01,84,188453,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,70,10234659,84,,183
2ENexcMEMsYk0rVJigVD3i,Only Girl (In The World),Rihanna,Loud (Japan Version),2010-01-01,88,235493,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,93,67413035,88,,184
1NpW5kyvO4XrNJ3rnfcNy3,Wild Ones (feat. Sia),Flo Rida,Wild Ones,2012-06-22,85,232946,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,83,8933336,85,,170
02XnQdf7sipaKBBHixz3Zp,Paparazzi,Lady Gaga,The Fame,2008-01-01,84,208306,True,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,"art pop, pop",93,39367001,84,,176
1QV6tiMFM6fSOKOGLMHYYg,Poker Face,Lady Gaga,The Fame,2008-01-01,88,237200,True,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,"art pop, pop",93,39367001,88,,176
0SiywuOBRcynK0uKGWdCnn,Bad Romance,Lady Gaga,The Fame Monster (Deluxe Edition),2009-11-05,89,294573,True,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,"art pop, pop",93,39367001,89,,183
6gj08XDlv9Duc2fPOxUmVD,Lips Are Movin,Meghan Trainor,Title (Deluxe),2015-01-12,70,182666,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,79,15756467,70,,185
6lV2MSQmRIkycDScNtrBXO,Airplanes (feat. Hayley Williams of Paramore),B.o.B,B.o.B Presents: The Adventures of Bobby Ray,2010-04-27,81,180480,True,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,77,2219226,81,,184
7ElF5zxOwYP4qVSWVvse3W,Break Your Heart,Taio Cruz,The Rokstarr Hits Collection,2010-01-01,73,201546,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,73,2343166,73,,184
4rHZZAmHpZrA3iH5zx8frV,Mirrors,Justin Timberlake,The 20/20 Experience (Deluxe Version),2013-03-15,86,484146,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,85,15464072,86,,185
09CtPGIpYB4BrO8qb1RGsF,Sorry,Justin Bieber,Purpose (Deluxe),2015-11-13,88,200786,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,92,83075012,88,,166
1v7L65Lzy0j0vdpRjJewt1,Lose Yourself,Eminem,Just Lose It,2004-01-01,83,322226,True,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,"rap, hip hop",92,101766116,83,,63
6AtZLIzUINvExIUy4QhdjP,I Knew You Were Trouble (Taylor's Version),Taylor Swift,Red (Taylor's Version),2021-11-12,75,219760,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,99,139598052,75,,184
5jE48hhRu8E6zBDPRSkEq7,All About That Bass,Meghan Trainor,Title (Deluxe),2015-01-12,74,187920,True,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,79,15756467,74,,185
4B0JvthVoAAuygILe3n4Bs,What Do You Mean?,Justin Bieber,Purpose (Deluxe),2015-11-13,85,205680,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,92,83075012,85,,166
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,2008-06-06,91,242373,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,92,58955436,91,,170
76FZM38RC8XaAjJ77CVTNe,Into You,Ariana Grande,Dangerous Woman,2016-04-01,85,244453,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,pop,93,105872543,85,,181
4HeCFqiB1rBqGqvE10rF1a,Side To Side,Ariana Grande,Dangerous Woman,2016-05-20,68,226173,True,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,pop,93,105872543,68,,184
3f7gYMirBEKuc57218BjOY,California Gurls,Katy Perry,Teenage Dream,2010-08-24,71,234653,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,pop,88,37495487,71,,179
14iN3o8ptQ8cFVZTEmyQRV,I Kissed A Girl,Katy Perry,One Of The Boys,2008-06-17,79,179640,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,pop,88,37495487,79,,46
0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,Kesha,Animal (Expanded Edition),2010-01-01,89,199693,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,84,8855289,89,,185
2CEgGE6aESpnmtfiZwYlbV,Dynamite,Taio Cruz,The Rokstarr Hits Collection,2010-01-01,79,202613,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,73,2343166,79,,184
3cU2wBxuV6nFiuf6PJZNlC,Dear Future Husband,Meghan Trainor,Title (Deluxe),2015-01-12,73,184226,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,79,15756467,73,,185
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),The Kid LAROI,STAY (with Justin Bieber),2021-07-09,84,141805,True,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,83,6341994,84,,184
4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,Justice,2021-03-19,83,198081,True,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,92,83075012,83,,184
4JehYebiI9JE8sR8MisGVb,Halo,Beyoncé,I AM...SASHA FIERCE,2008-11-17,77,261640,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,89,40535481,77,,145
1oQZk2bKBLgP1cbuFKvjkq,If I Were a Boy,Beyoncé,I AM...SASHA FIERCE - Platinum Edition,2008,76,249866,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,89,40535481,76,,145
4TCL0qqKyqsMZml0G3M9IM,Telephone,Lady Gaga,The Fame Monster (Deluxe Edition),2009-11-05,74,220640,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,"art pop, pop",93,39367001,74,,183
6s8nHXTJVqFjXE4yVZPDHR,Troublemaker (feat. Flo Rida),Olly Murs,Right Place Right Time (Expanded Edition),2012-11-26,79,185586,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,67,3217290,79,,185
7xkQdy0cy5ymoWT7nedvLz,Whatcha Say,Jason Derulo,Jason Derulo (International),2010-02-26,77,221253,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,81,12478568,77,,169
1hwJKpe0BPUsq6UUrwBWTw,Boulevard of Broken Dreams,Green Day,Boulevard of Broken Dreams,2004,76,261266,True,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,"punk, pop punk",84,16816183,76,,185
1QNqrsNQ1JVLEwncov3lEY,True Love (feat. Lily Allen),P!nk,The Truth About Love,2012-09-18,71,230733,True,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,82,17969800,71,,185
1Ov37jtRQ2YNAe8HzfczkL,Wildest Dreams (Taylor's Version),Taylor Swift,Wildest Dreams (Taylor's Version),2021-09-17,76,220433,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,99,139598052,76,,184
5vTPxzm4h2bY9rYyVrGEU5,Really Don't Care,Demi Lovato,Demi,2013-01-01,73,201600,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,79,27174902,73,,159
45wMBGri1PORPjM9PwFfrS,Blank Space (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,77,231833,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,99,139598052,77,,183
0JiY190vktuhSGN6aqJdrt,So What,P!nk,Funhouse (Expanded Edition),2008-10-24,81,215160,True,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,82,17969800,81,,185
7Ie9W94M7OjPoZVV216Xus,Not Afraid,Eminem,Recovery,2010-06-18,82,248133,True,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,"rap, hip hop",92,101766116,82,,184
3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady,Eminem,The Marshall Mathers LP,2000-05-23,88,284200,True,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,"rap, hip hop",92,101766116,88,,184
