track_id,track_name,artist_name,album_name,release_date,popularity,duration_ms,explicit,playlist_source,playlist_id,city,artist_genres,artist_popularity,artist_followers,track_popularity,preview_url,markets_available,artist_genres_clean,release_date_parsed,release_year,release_month,release_decade,artist_popularity_is_outlier,track_popularity_is_outlier,artist_followers_is_outlier,duration_ms_is_outlier,duration_minutes,artist_tier,popularity_category,music_era,genre_count,track_age
6XD3HMATLswheYevIfKkSi,All Over The Road,Easton Corbin,All Over The Road,2012-01-01,68,163066,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, acoustic country",59,974212,68,,184,"country, acoustic country",2012-01-01,2012.0,1.0,2010.0,False,False,False,False,2.717766666666667,Large,High,2010s,2,13.0
0SF38KDlXNLJAxbYyOMnCy,Loud and Heavy,Cody Jinks,Adobe Sessions,2015-01-12,1,229927,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"red dirt, texas country, outlaw country, country",69,1129757,1,,0,"red dirt, texas country, outlaw country, country",2015-01-12,2015.0,1.0,2010.0,False,False,False,False,3.832116666666667,Superstar,Unknown,2010s,4,10.0
3mYIIi1M6uySDWa2UmyDul,Can't Write A Love Song,Riley Green,Bury Me In Dixie,2018-01-01,37,231794,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,79,1187341,37,,184,country,2018-01-01,2018.0,1.0,2010.0,False,False,False,False,3.8632333333333335,Superstar,Low,2010s,1,7.0
6ioWVLiVdOLtpKiz8SFRmN,Never Done It Sober,Riley Green,Bury Me In Dixie,2018-01-01,37,233692,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,79,1187341,37,,184,country,2018-01-01,2018.0,1.0,2010.0,False,False,False,False,3.8948666666666667,Superstar,Low,2010s,1,7.0
1BWq6vqgF679jaHo3Hb0se,Runnin' With An Angel,Riley Green,Runnin' With An Angel,2018-06-01,49,235693,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,79,1187341,49,,184,country,2018-06-01,2018.0,6.0,2010.0,False,False,False,False,3.9282166666666667,Superstar,Medium,2010s,1,7.0
6N6IavjzVG9LLP1pKxTiJ1,Break Up More Often,Riley Green,In A Truck Right Now,2018-06-29,0,203053,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,79,1187341,0,,0,country,2018-06-29,2018.0,6.0,2010.0,False,False,False,False,3.3842166666666667,Superstar,,2010s,1,7.0
698eQRku24PIYPQPHItKlA,She Got the Best of Me,Luke Combs,This One's for You Too (Deluxe Edition),2018-06-01,82,183160,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,87,12938346,82,,185,country,2018-06-01,2018.0,6.0,2010.0,False,False,False,False,3.0526666666666666,Superstar,Viral,2010s,1,7.0
7nfmK6oHPDlAd68A11d7AN,Beer Never Broke My Heart,Luke Combs,The Prequel - EP,2019-06-07,0,186800,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,87,12938346,0,,0,country,2019-06-07,2019.0,6.0,2010.0,False,False,False,False,3.1133333333333333,Superstar,,2010s,1,6.0
3EWMoDIm6lzuR0zQKtuCJX,Up Down (feat. Florida Georgia Line),Morgan Wallen,If I Know Me,2018-04-27,8,197253,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,96,13031159,8,,0,country,2018-04-27,2018.0,4.0,2010.0,False,False,False,False,3.28755,Superstar,Unknown,2010s,1,7.0
6ERR6e7h6wCqGoz1TjiUJb,Knockin' Boots,Luke Bryan,Knockin' Boots,2019-03-29,64,199382,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, acoustic country",80,9280208,64,,184,"country, acoustic country",2019-03-29,2019.0,3.0,2010.0,False,False,False,False,3.3230333333333335,Superstar,High,2010s,2,6.0
6voi5xnLs9JKmWG2oLmgDU,Raised on Country,Chris Young,Raised on Country,2019-01-04,54,175594,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, acoustic country",69,2880726,54,,185,"country, acoustic country",2019-01-04,2019.0,1.0,2010.0,False,False,False,False,2.9265666666666665,Superstar,Medium,2010s,2,6.0
7hvO2qCwJVZxiyoA7c9i5d,BLOW (with Chris Stapleton & Bruno Mars),Ed Sheeran,No.6 Collaborations Project,2019-07-12,63,209120,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,soft pop,92,121034098,63,,185,soft pop,2019-07-12,2019.0,7.0,2010.0,False,False,True,False,3.485333333333333,Superstar,High,2010s,1,6.0
4qQwGRtGT7l6ckQtdPEFd4,Talk You Out Of It,Florida Georgia Line,Can't Say I Ain't Country,2019-02-15,63,202920,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, pop country, acoustic country",76,5554320,63,,184,"country, pop country, acoustic country",2019-02-15,2019.0,2.0,2010.0,False,False,False,False,3.382,Superstar,High,2010s,3,6.0
6guWjUuNYziyNXgjFo1IpF,"Houston, We Got a Problem",Luke Combs,This One's for You Too (Deluxe Edition),2018-06-01,71,191986,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,87,12938346,71,,185,country,2018-06-01,2018.0,6.0,2010.0,False,False,False,False,3.1997666666666666,Superstar,High,2010s,1,7.0
2yQZwi1P8AkkxxFhQ8rMEK,Greatest Love Story,LANCO,Hallelujah Nights,2018-01-19,70,222573,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,54,403007,70,,185,country,2018-01-19,2018.0,1.0,2010.0,False,False,False,False,3.70955,Large,High,2010s,1,7.0
001UkMQHw4zXfFNdKpwXAF,Brand New Man - with Luke Combs,Brooks & Dunn,Reboot,2019-04-05,70,191053,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, classic country, acoustic country",76,3227426,70,,185,"country, classic country, acoustic country",2019-04-05,2019.0,4.0,2010.0,False,False,False,False,3.1842166666666665,Superstar,High,2010s,3,6.0
79LAFAkR1ATb4iIQvZuCL0,Most People Are Good,Luke Bryan,What Makes You Country,2017-12-08,65,221800,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, acoustic country",80,9280208,65,,184,"country, acoustic country",2017-12-08,2017.0,12.0,2010.0,False,False,False,False,3.6966666666666668,Superstar,High,2010s,2,8.0
3y8xKFhQWc8DARB3fuGMGA,Hell Right (feat. Trace Adkins),Blake Shelton,Hell Right (feat. Trace Adkins),2019-08-16,54,207480,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,75,7459988,54,,185,country,2019-08-16,2019.0,8.0,2010.0,False,False,False,False,3.458,Superstar,Medium,2010s,1,6.0
75p6fgACKYIyIhsoG411SZ,Hey Pretty Girl,Kip Moore,Up All Night,2012-01-01,61,215920,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,64,1271893,61,,184,country,2012-01-01,2012.0,1.0,2010.0,False,False,False,False,3.5986666666666665,Superstar,High,2010s,1,13.0
5ZMFVgZSYvbq3SmgRwaGMa,Point At You,Justin Moore,Off The Beaten Path (Deluxe Edition),2013-01-01,51,180720,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, acoustic country",65,1905972,51,,2,"country, acoustic country",2013-01-01,2013.0,1.0,2010.0,False,False,False,False,3.012,Superstar,Medium,2010s,2,12.0
5WA2SHuL5eesmPnYflNzlT,Rearview Town,Jason Aldean,Rearview Town,2018-04-13,1,184173,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, acoustic country",79,6921226,1,,0,"country, acoustic country",2018-04-13,2018.0,4.0,2010.0,False,False,False,False,3.06955,Superstar,Unknown,2010s,2,7.0
5aZQrb2TXWEh9uZR4HEY3r,Even Though I'm Leaving,Luke Combs,What You See Is What You Get,2019-11-08,0,225253,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,87,12938346,0,,0,country,2019-11-08,2019.0,11.0,2010.0,False,False,False,False,3.7542166666666668,Superstar,,2010s,1,6.0
5qdQPrWmZv8xYhMJCDrdHF,Heartache Medication,Jon Pardi,Heartache Medication,2019-09-27,81,209109,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, acoustic country",78,2258962,81,,184,"country, acoustic country",2019-09-27,2019.0,9.0,2010.0,False,False,False,False,3.48515,Superstar,Viral,2010s,2,6.0
7Dxes6VnfbZYV0S2QTnVuT,I Wish Grandpas Never Died,Riley Green,Different 'Round Here,2019-09-20,75,250413,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,79,1187341,75,,184,country,2019-09-20,2019.0,9.0,2010.0,False,False,False,False,4.17355,Superstar,High,2010s,1,6.0
2GHJ7SJUd1KunqhFyI7vFf,Someone I Used To Know,Zac Brown Band,The Owl,2019-09-20,1,209264,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, acoustic country",77,4083899,1,,0,"country, acoustic country",2019-09-20,2019.0,9.0,2010.0,False,False,False,False,3.4877333333333334,Superstar,Unknown,2010s,2,6.0
40ufL61vEaDaaOitYhnlQ7,Tip of My Tongue,Kenny Chesney,Tip of My Tongue,2019-07-12,52,199413,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,77,4790810,52,,185,country,2019-07-12,2019.0,7.0,2010.0,False,False,False,False,3.32355,Superstar,Medium,2010s,1,6.0
41FLEFSeRCv19OBn0vLiaH,It All Comes Out in the Wash,Miranda Lambert,Wildcard,2019-11-01,50,214786,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,72,3692530,50,,185,country,2019-11-01,2019.0,11.0,2010.0,False,False,False,False,3.5797666666666665,Superstar,Medium,2010s,1,6.0
6RHDliBPKS2TShFp7UIHF0,May We All,Florida Georgia Line,Dig Your Roots (Big Machine Radio Release Special),2016-08-26,46,226586,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, pop country, acoustic country",76,5554320,46,,184,"country, pop country, acoustic country",2016-08-26,2016.0,8.0,2010.0,False,False,False,False,3.7764333333333333,Superstar,Medium,2010s,3,9.0
5f67qP7EXnVPyhZYquhgQ3,Mercy,Brett Young,Brett Young (Big Machine Radio Release Special),2017-02-10,46,217120,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,69,1222614,46,,184,country,2017-02-10,2017.0,2.0,2010.0,False,False,False,False,3.6186666666666665,Superstar,Medium,2010s,1,8.0
5fSPbm5lcwtqwXkeQQswW8,Record Year,Eric Church,Mr. Misunderstood,2015-11-11,72,179346,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, acoustic country",77,4083479,72,,184,"country, acoustic country",2015-11-11,2015.0,11.0,2010.0,False,False,False,False,2.9891,Superstar,High,2010s,2,10.0
0M7mWKqwTIaVjYyxfZmtTa,"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith,Unleashed,2002-01-01,79,195533,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, classic country",76,2884038,79,,184,"country, classic country",2002-01-01,2002.0,1.0,2000.0,False,False,False,False,3.2588833333333334,Superstar,High,2000s,2,23.0
5HGibWoxnkYSkl6mHmAlOE,That's My Kind Of Night,Luke Bryan,Crash My Party,2013-01-01,77,190186,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, acoustic country",80,9280208,77,,184,"country, acoustic country",2013-01-01,2013.0,1.0,2010.0,False,False,False,False,3.169766666666667,Superstar,High,2010s,2,12.0
5Z19ylxppfnfdP4JH0u8oj,Break Up in the End,Cole Swindell,All of It,2018-08-17,62,199693,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, acoustic country",70,2515967,62,,184,"country, acoustic country",2018-08-17,2018.0,8.0,2010.0,False,False,False,False,3.3282166666666666,Superstar,High,2010s,2,7.0
0rFQ5cKYJ9WtHSKp9sxVYt,Heartless (feat. Morgan Wallen),Diplo,Heartless (feat. Morgan Wallen),2019-08-16,1,169226,True,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,moombahton,80,2786399,1,,0,moombahton,2019-08-16,2019.0,8.0,2010.0,False,False,False,False,2.8204333333333333,Superstar,Unknown,2010s,1,6.0
1tSGw3h54aHModEHHL1HGK,Better Together,Luke Combs,What You See Is What You Get,2019-11-08,0,219573,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,87,12938346,0,,0,country,2019-11-08,2019.0,11.0,2010.0,False,False,False,False,3.65955,Superstar,,2010s,1,6.0
408JSy42j9aL8EMO9sPsYb,Straight To Hell,Darius Rucker,When Was The Last Time,2017-10-20,54,253786,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,71,2719116,54,,184,country,2017-10-20,2017.0,10.0,2010.0,False,False,False,False,4.2297666666666665,Superstar,Medium,2010s,1,8.0
5V4Sx4VKnHwyM6CjZnfce2,Not Good At Not,Morgan Wallen,If I Know Me,2018-04-27,1,185066,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,96,13031159,1,,0,country,2018-04-27,2018.0,4.0,2010.0,False,False,False,False,3.084433333333333,Superstar,Unknown,2010s,1,7.0
5ggoxc2dhlFjListerctlA,Nothin' on You,Cody Johnson,Ain't Nothin' to It,2019-01-18,70,260466,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"texas country, country, red dirt",78,1803065,70,,184,"texas country, country, red dirt",2019-01-18,2019.0,1.0,2010.0,False,False,False,False,4.3411,Superstar,High,2010s,3,6.0
1M2l9ReoabUnvl6Y8jLUe7,Colder Weather,Zac Brown Band,You Get What You Give (Deluxe),2010-09-20,1,273893,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, acoustic country",77,4083899,1,,0,"country, acoustic country",2010-09-20,2010.0,9.0,2010.0,False,False,False,False,4.564883333333333,Superstar,Unknown,2010s,2,15.0
47yypFbq6fu3yUvFoaf2UN,Cover Me Up,Morgan Wallen,Cover Me Up,2019-04-05,0,292662,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,96,13031159,0,,0,country,2019-04-05,2019.0,4.0,2010.0,False,False,False,False,4.8777,Superstar,,2010s,1,6.0
5MwynWK9s4hlyKHqhkNn4A,Chasin' You,Morgan Wallen,If I Know Me,2018-04-27,12,205453,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,96,13031159,12,,0,country,2018-04-27,2018.0,4.0,2010.0,False,False,False,False,3.4242166666666667,Superstar,Unknown,2010s,1,7.0
1qjl8UJtWTHrk4SFpwftSN,Tomorrow,Chris Young,Neon,2011-07-11,66,220173,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, acoustic country",69,2880726,66,,184,"country, acoustic country",2011-07-11,2011.0,7.0,2010.0,False,False,False,False,3.66955,Superstar,High,2010s,2,14.0
575wNG8uXiF5jjaSdWqdxZ,Neon,Chris Young,Neon,2011-07-11,51,224160,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, acoustic country",69,2880726,51,,184,"country, acoustic country",2011-07-11,2011.0,7.0,2010.0,False,False,False,False,3.736,Superstar,Medium,2010s,2,14.0
6PN7QeNItfzZBpCTQvsLyq,Short Skirt Weather,Kane Brown,Experiment Extended,2019-11-01,58,194146,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, pop country",77,5709978,58,,185,"country, pop country",2019-11-01,2019.0,11.0,2010.0,False,False,False,False,3.2357666666666667,Superstar,Medium,2010s,2,6.0
5xYI4ZcyAHq3ruRnFazHnN,Get That Man A Beer,Riley Green,Different 'Round Here,2019-09-20,64,202226,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,79,1187341,64,,184,country,2019-09-20,2019.0,9.0,2010.0,False,False,False,False,3.370433333333333,Superstar,High,2010s,1,6.0
7grWGhX8SHNmyGOkMNVMCt,There Was This Girl,Riley Green,Different 'Round Here,2019-09-20,77,194426,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,79,1187341,77,,184,country,2019-09-20,2019.0,9.0,2010.0,False,False,False,False,3.2404333333333333,Superstar,High,2010s,1,6.0
6FpSqJRS0786oDMKIDqISd,Break Up More Often,Riley Green,Different 'Round Here,2019-09-20,52,203426,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,79,1187341,52,,184,country,2019-09-20,2019.0,9.0,2010.0,False,False,False,False,3.390433333333333,Superstar,Medium,2010s,1,6.0
